"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD008122",79,"Pandya 2001",0.867256637168142,0.790526322558918,0.923760827663726,0.994350282485876,0.979741457491945,0.9993148200256,98,2,15,352
"CD008122",79,"Pattanasin 2003",0.912280701754386,0.80704280786347,0.970901556182326,0.952830188679245,0.914965544106825,0.977151762764409,52,10,5,202
"CD008122",79,"Ratsimbasoa 2007",0.859154929577465,0.756195316851978,0.93033744919468,0.943089430894309,0.886255884558205,0.976815386516292,61,7,10,116
"CD008122",79,"Sayang 2009",0.714285714285714,0.586538655417306,0.821070807320731,0.822222222222222,0.727415540483263,0.894830661349826,45,16,18,74
"CD008122",79,"Sharew 2009",0.994047619047619,0.967283274446215,0.999849228631882,0.968,0.948553241729736,0.98160107421875,167,16,1,484
"CD008122",79,"Sharma 1999",0.964285714285714,0.876868537494114,0.995644978114537,0.984375,0.915989600121975,0.99960470199585,54,1,2,63
"CD008122",79,"Singh 1997 (a)",1,0.981814861297607,1,0.855263157894737,0.789105170651486,0.907017080407394,201,22,0,130
"CD008122",79,"Singh 1997 (b)",0.926701570680628,0.895803593840275,0.950743949850192,0.924617196702002,0.90475457857579,0.941465200327591,354,64,28,785
"CD008122",79,"Singh 2000 (a)",0.980916030534351,0.956029136672275,0.993775054698682,0.867424242424242,0.82046967383587,0.90588928713943,257,35,5,229
"CD008122",79,"Singh 2000 (c)",0.974842767295597,0.936842459552693,0.993103795081565,0.972972972972973,0.938057512850375,0.991167635531039,155,5,4,180
"CD008122",79,"Stephens 1999",0.887096774193548,0.781113524590769,0.953383230393933,0.833333333333333,0.779280265172323,0.878719011942546,55,39,7,195
"CD008122",79,"Stow 1999",0.807692307692308,0.606494445067186,0.934452130244328,0.956521739130435,0.907769120257834,0.98387975278108,21,6,5,132
"CD008122",79,"Tagbo 2007",0.423076923076923,0.233521938323975,0.630819375698383,0.936507936507937,0.845339222559853,0.982431078714038,11,4,15,59
"CD008122",79,"Tjitra 1999",0.955465587044534,0.921714172672164,0.97756188890712,0.89776357827476,0.858743873267128,0.929013188273762,236,32,11,281
